Job,Department,Organization Group,Overtime,Total Salary,Total Benefits,Total Compensation
Special Nurse,Public Health,Community Health,0.0,3683.93,285.94,3969.87
Medical Evaluations Assistant,Public Health,Community Health,24040.63,101481.72,23593.33,125075.05
Patient Care Assistant,Public Health,Community Health,36070.96,115393.06,25143.45,140536.51
Registered Nurse,Public Health,Community Health,582.4,178176.2,44180.69,222356.89
Special Nurse,Public Health,Community Health,1194.8,20326.79,322.73,20649.52
Clinical Pharmacist,Public Health,Community Health,0.0,207153.01,53614.58,260767.59
Porter,Public Health,Community Health,2117.65,75877.18,21042.15,96919.33
Health Program Coordinator 2,Public Health,Community Health,0.0,82920.86,23250.68,106171.54
Registered Nurse,Public Health,Community Health,4330.97,141427.87,38271.44,179699.31
Registered Nurse,Public Health,Community Health,19466.57,162442.24,36213.88,198656.12
Special Nurse,Public Health,Community Health,3041.54,115300.23,18577.19,133877.42
Behavioral Health Clinician,Public Health,Community Health,0.0,116290.4,32709.8,149000.2
Health Care Billing Clerk 1,Public Health,Community Health,32289.43,110425.06,24482.54,134907.6
Special Nurse,Public Health,Community Health,0.0,25109.5,4483.53,29593.03
Registered Nurse,Public Health,Community Health,10647.97,165864.63,41336.29,207200.92
Registered Nurse,Public Health,Community Health,81827.84,255610.04,49178.52,304788.56
Nurse Practitioner,Public Health,Community Health,0.0,18438.67,1415.56,19854.23
Licensed Vocational Nurse,Public Health,Community Health,0.0,12875.22,1048.25,13923.47
Health Care Analyst,Public Health,Community Health,239.38,102540.38,28640.83,131181.21
Special Nurse,Public Health,Community Health,0.0,1535.01,23.31,1558.32
Special Nurse,Public Health,Community Health,4068.82,36537.38,581.91,37119.29
Gardener,Recreation And Park Commission,Culture & Recreation,1818.33,84685.95,23417.68,108103.63
Planner 3,Recreation And Park Commission,Culture & Recreation,0.0,132338.1,37263.39,169601.49
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,1559.59,121.06,1680.65
General Laborer,Recreation And Park Commission,Culture & Recreation,12201.42,92683.92,23531.61,116215.53
Custodian,Recreation And Park Commission,Culture & Recreation,0.0,3755.76,1187.02,4942.78
Natural Resource Specialist,Recreation And Park Commission,Culture & Recreation,103.79,71775.4,20172.56,91947.96
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,8885.34,683.88,9569.22
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,16208.6,1239.27,17447.87
Camp Assistant,Recreation And Park Commission,Culture & Recreation,0.0,875.62,66.5,942.12
Clerk,Registrar,General Administration & Finance,3838.16,51231.49,15300.42,66531.91
Clerk,Registrar,General Administration & Finance,3342.73,24012.04,1834.15,25846.19
Clerk,Registrar,General Administration & Finance,5272.15,70477.25,21098.08,91575.33
Junior Clerk,Registrar,General Administration & Finance,0.0,172.38,13.09,185.47
Clerk,Registrar,General Administration & Finance,191.04,1008.82,76.63,1085.45
Fingerprint Technician 2,Sheriff,Public Protection,0.0,48634.66,13863.15,62497.81
Institutional Police Officer,Sheriff,Public Protection,19818.13,117251.67,57366.64,174618.31
Deputy Sheriff,Sheriff,Public Protection,16460.1,152641.37,80899.86,233541.23
Sheriff's Cadet,Sheriff,Public Protection,31060.22,102239.42,24762.18,127001.6
Sheriff's Cadet,Sheriff,Public Protection,12943.46,80146.1,22120.5,102266.6
Project Manager 1,Recreation And Park Commission,Culture & Recreation,0.0,167611.51,45075.72,212687.23
Gardener,Recreation And Park Commission,Culture & Recreation,4927.97,84757.49,22669.78,107427.27
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,353.16,26.83,379.99
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,216.0,16.4,232.4
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,396.0,30.08,426.08
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,720.0,54.69,774.69
Sheriff's Lieutenant,Sheriff,Public Protection,97370.46,291226.18,110449.53,401675.71
Deputy Sheriff,Sheriff,Public Protection,19130.88,147459.26,77319.64,224778.9
Deputy Sheriff (SFERS),Sheriff,Public Protection,63831.58,172676.48,24524.64,197201.12
Electrical Line Worker,Department of Technology,General Administration & Finance,0.0,69361.53,15718.56,85080.09
"StdntDsgnTrain1, Arch/Eng/Plng",Department of Technology,General Administration & Finance,0.0,1264.5,96.04,1360.54
Stationary Engineer,War Memorial,Culture & Recreation,33991.09,150198.87,35189.95,185388.82
Sheriff's Property Keeper,Sheriff,Public Protection,0.0,13354.76,1036.55,14391.31
Sheriff's Property Keeper,Sheriff,Public Protection,0.0,18011.55,1380.43,19391.98
Deputy Sheriff 1,Sheriff,Public Protection,0.0,3113.3,759.09,3872.39
Deputy Sheriff 1,Sheriff,Public Protection,2545.96,40070.56,10511.01,50581.57
Electrical Line Worker,Department of Technology,General Administration & Finance,23236.31,138714.07,33955.95,172670.02
Electrical Line Helper,Department of Technology,General Administration & Finance,0.0,99496.0,27730.69,127226.69
IS Engineer-Principal,Department of Technology,General Administration & Finance,0.0,221350.95,51018.08,272369.03
Senior Management Assistant,Treasurer/Tax Collector,General Administration & Finance,0.0,105486.93,29484.58,134971.51
"Investigator, Tax Collector",Treasurer/Tax Collector,General Administration & Finance,0.0,112261.46,31712.75,143974.21
Manager III,Treasurer/Tax Collector,General Administration & Finance,0.0,195343.93,61782.59,257126.52
Bldg & Grounds Patrol Officer,War Memorial,Culture & Recreation,1868.79,56711.27,15378.97,72090.24
Deputy Sheriff (SFERS),Sheriff,Public Protection,11128.17,39932.86,6337.38,46270.24
Sheriff's Cadet,Sheriff,Public Protection,327.54,8447.03,2573.89,11020.92
Sheriff's Cadet,Sheriff,Public Protection,309.0,8343.0,2540.59,10883.59
Recreation Facility Assistant,Recreation And Park Commission,Culture & Recreation,0.0,43302.36,13679.49,56981.85
Recreation Specialist,Recreation And Park Commission,Culture & Recreation,1.74,61910.85,17483.0,79393.85
Recreation Coordinator,Recreation And Park Commission,Culture & Recreation,0.0,68791.3,19574.73,88366.03
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,2124.0,164.85,2288.85
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,2124.0,164.85,2288.85
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,1495.44,115.19,1610.63
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,577.79,43.89,621.68
Junior Clerk,Registrar,General Administration & Finance,692.58,1640.65,124.61,1765.26
Junior Clerk,Registrar,General Administration & Finance,1699.13,2684.13,203.86,2887.99
Junior Clerk,Registrar,General Administration & Finance,415.55,957.31,72.71,1030.02
Senior Legal Process Clerk,Sheriff,Public Protection,4701.68,51939.0,13707.85,65646.85
Sheriff's Sergeant,Sheriff,Public Protection,46595.83,221335.89,95083.26,316419.15
Deputy Sheriff (SFERS),Sheriff,Public Protection,34073.34,166257.91,29165.18,195423.09
Deputy Sheriff (SFERS),Sheriff,Public Protection,28603.02,139169.93,24389.01,163558.94
Media/Security Syst Supv,Department of Technology,General Administration & Finance,0.0,139177.69,37858.34,177036.03
Senior Administrative Analyst,Department of Technology,General Administration & Finance,0.0,127162.22,35690.88,162853.1
Custodial Supervisor,Recreation And Park Commission,Culture & Recreation,8926.94,96687.78,25129.16,121816.94
Volunteer/Outreach Coord,Recreation And Park Commission,Culture & Recreation,0.0,86959.69,24338.75,111298.44
Pr Administrative Analyst,Recreation And Park Commission,Culture & Recreation,0.0,147218.4,40494.89,187713.29
Senior Administrative Analyst,Recreation And Park Commission,Culture & Recreation,0.0,110462.38,31162.53,141624.91
Swimming Instr/Pool Lifeguard,Recreation And Park Commission,Culture & Recreation,328.65,31117.84,9812.13,40929.97
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,16327.7,1248.87,17576.57
Custodian,Recreation And Park Commission,Culture & Recreation,1681.37,68796.97,18831.3,87628.27
Gardener,Recreation And Park Commission,Culture & Recreation,9446.95,86189.7,22280.19,108469.89
Custodian,Recreation And Park Commission,Culture & Recreation,0.0,26079.22,1992.29,28071.51
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,18149.03,1387.61,19536.64
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,2874.24,221.98,3096.22
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,2079.0,161.36,2240.36
Clerk,Registrar,General Administration & Finance,4804.33,38965.21,3484.51,42449.72
Assistant Retirement Analyst,Retirement Services,General Administration & Finance,0.0,101048.74,28654.76,129703.5
Deputy Sheriff,Sheriff,Public Protection,20907.44,156355.31,80087.16,236442.47
Deputy Sheriff,Sheriff,Public Protection,8290.06,116712.47,60945.28,177657.75
Sheriff's Cadet,Sheriff,Public Protection,66848.23,137359.14,27270.76,164629.9
Deputy Sheriff (SFERS),Sheriff,Public Protection,71383.72,207948.58,30727.27,238675.85
Media Programming Spec,Department of Technology,General Administration & Finance,0.0,10568.93,1853.4,12422.33
Communications Systems Tech,Department of Technology,General Administration & Finance,0.0,124856.66,34472.45,159329.11
IS Engineer-Principal,Department of Technology,General Administration & Finance,0.0,182523.9,48407.24,230931.14
IS Engineer-Senior,Department of Technology,General Administration & Finance,0.0,178704.58,45147.42,223852.0
Cable Splicer,Department of Technology,General Administration & Finance,21814.86,155905.92,38708.41,194614.33
Technology Expert I,Department of Technology,General Administration & Finance,0.0,53938.5,12434.03,66372.53
Account Clerk,Treasurer/Tax Collector,General Administration & Finance,0.0,72363.81,20539.43,92903.24
Principal Clerk,Treasurer/Tax Collector,General Administration & Finance,0.0,93016.7,26383.06,119399.76
Gardener,Recreation And Park Commission,Culture & Recreation,7546.43,90172.99,23820.01,113993.0
Recreation Facility Assistant,Recreation And Park Commission,Culture & Recreation,0.0,16077.5,1223.07,17300.57
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,19848.38,1517.68,21366.06
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,6956.4,2175.48,9131.88
Camp Assistant,Recreation And Park Commission,Culture & Recreation,0.0,465.57,35.37,500.94
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,8311.38,640.69,8952.07
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,2682.17,203.71,2885.88
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,2196.0,170.45,2366.45
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,4235.27,324.2,4559.47
Junior Clerk,Registrar,General Administration & Finance,294.0,1163.75,90.33,1254.08
Clerk,Registrar,General Administration & Finance,310.1,2057.79,159.56,2217.35
Clerk,Registrar,General Administration & Finance,1906.07,22283.37,1701.75,23985.12
Clerk,Registrar,General Administration & Finance,2819.45,41364.74,5022.29,46387.03
Senior Benefits Analyst,Retirement Services,General Administration & Finance,0.0,114006.33,31567.55,145573.88
Dep Dir V,Retirement Services,General Administration & Finance,0.0,235926.59,60573.26,296499.85
Deputy Sheriff,Sheriff,Public Protection,52104.81,186495.56,62717.94,249213.5
Deputy Sheriff,Sheriff,Public Protection,91657.67,231594.21,83996.44,315590.65
Sheriff's Sergeant,Sheriff,Public Protection,5264.26,144341.58,77762.38,222103.96
Deputy Sheriff,Sheriff,Public Protection,1456.86,140637.47,77854.45,218491.92
Deputy Sheriff,Sheriff,Public Protection,1730.16,129985.22,72665.59,202650.81
Deputy Sheriff (SFERS),Sheriff,Public Protection,60776.76,197798.5,30457.33,228255.83
Deputy Sheriff (SFERS),Sheriff,Public Protection,7762.7,136192.18,27158.63,163350.81
Deputy Sheriff (SFERS),Sheriff,Public Protection,170.1,72435.69,14469.71,86905.4
IS Engineer-Journey,Department of Technology,General Administration & Finance,0.0,34728.0,9517.08,44245.08
Management Assistant,Treasurer/Tax Collector,General Administration & Finance,533.99,86476.73,24284.02,110760.75
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,5205.31,404.02,5609.33
Aquatics Facility Supervisor,Recreation And Park Commission,Culture & Recreation,0.0,57656.57,16036.66,73693.23
Recreation Specialist,Recreation And Park Commission,Culture & Recreation,993.49,75955.56,21202.48,97158.04
Plumber,Recreation And Park Commission,Culture & Recreation,450.78,133609.5,36843.56,170453.06
Swimming Instructor,Recreation And Park Commission,Culture & Recreation,0.0,2038.15,156.2,2194.35
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,13791.19,1060.75,14851.94
Recreation Leader,Recreation And Park Commission,Culture & Recreation,0.0,7277.26,562.19,7839.45
Park Ranger,Recreation And Park Commission,Culture & Recreation,513.31,23115.46,5364.07,28479.53
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,2169.0,168.35,2337.35
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,2088.0,162.06,2250.06
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,2052.0,159.27,2211.27
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,591.66,44.94,636.6
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,342.0,25.98,367.98
Public Service Trainee,Recreation And Park Commission,Culture & Recreation,0.0,630.0,47.85,677.85
Sheriff's Sergeant,Sheriff,Public Protection,57112.54,220514.02,95966.08,316480.1
Deputy Sheriff,Sheriff,Public Protection,16562.32,154685.12,79935.14,234620.26
Senior Deputy Sheriff,Sheriff,Public Protection,48325.15,201586.74,89337.81,290924.55
Electronic Maintenance Tech,Sheriff,Public Protection,12.0,137488.96,37880.37,175369.33
Sheriff's Sergeant,Sheriff,Public Protection,66036.43,229163.5,97090.73,326254.23
Deputy Sheriff (SFERS),Sheriff,Public Protection,4773.14,111027.25,23087.41,134114.66
"Attorney, Tax Collector",Treasurer/Tax Collector,General Administration & Finance,0.0,243692.29,62940.38,306632.67
Manager II,Treasurer/Tax Collector,General Administration & Finance,0.0,170136.1,56199.26,226335.36
Collections Officer,Treasurer/Tax Collector,General Administration & Finance,0.0,48919.68,13327.93,62247.61
Administrative Analyst,Treasurer/Tax Collector,General Administration & Finance,0.0,104339.2,29495.22,133834.42
